selector,rank,feature,importance,outer_fold
Random_Forest_Importance_19,24,http.response,0.003660891522872799,5
Random_Forest_Importance_19,25,dns.qry.name,0.002319822297640069,5
Random_Forest_Importance_19,26,arp.opcode,0.0020235462673190837,5
Random_Forest_Importance_19,27,arp.hw.size,0.0018390137751984985,5
Random_Forest_Importance_19,28,tcp.connection.fin,0.0016260990520768795,5
Random_Forest_Importance_19,29,dns.qry.name.len,0.0014460449790802844,5
Random_Forest_Importance_19,30,dns.qry.qu,0.001443263135942604,5
Random_Forest_Importance_19,31,icmp.transmit_timestamp,0.0013770136827767102,5
Random_Forest_Importance_19,32,tcp.connection.synack,0.0012424822507454323,5
Random_Forest_Importance_19,33,mqtt.hdrflags,0.0007887744599332565,5
Random_Forest_Importance_19,34,mqtt.len,0.0007884205244126747,5
Random_Forest_Importance_19,35,mqtt.msgtype,0.0005488486368173778,5
Random_Forest_Importance_19,36,mqtt.topic_len,0.0002260428215870918,5
Random_Forest_Importance_19,37,mqtt.ver,0.00017706055717179355,5
Random_Forest_Importance_19,38,mqtt.proto_len,0.00016164196666217285,5
Random_Forest_Importance_19,39,mqtt.conflags,0.00011623138904788243,5
Random_Forest_Importance_19,40,mqtt.conflag.cleansess,6.78127585717149e-05,5
Random_Forest_Importance_19,41,dns.retransmission,4.287504066441103e-06,5
